timestamp, a_x, a_y, a_z, gr_x, gr_y, gr_z, ga_x, ga_y, ga_z, vel L, vel R, pendAngle
16,1.005908,-0.177231,-9.798025,0.136117,-0.001511,0.008836,-0.062966,0.086152,-0.00511,0,0,-0.00511
43,1.19751,-0.124541,-9.860296,0.128123,0.000887,0.005638,-0.198388,0.257888,-0.013445,0,0,-0.013445
71,0.953218,-0.162861,-9.78126,0.13705,-0.011903,0.009369,-0.338818,0.438981,-0.024962,0,0,-0.024962
98,0.946033,-0.172441,-9.759705,0.144111,-0.002444,0.008436,-0.494059,0.619806,-0.038748,0,0,-0.038748
126,0.852627,-0.172441,-9.82437,0.132254,-0.001911,0.004039,-0.634015,0.793633,-0.049818,0,0,-0.049818
153,1.017883,-0.203577,-9.764495,0.132254,-0.013502,0.010168,-0.775526,0.975414,-0.061976,0,0,-0.061976
181,0.967588,-0.174836,-9.77647,0.14078,-0.036551,0.010568,-0.938918,1.174633,-0.079141,0,0,-0.079141
209,1.092129,-0.110171,-9.740545,0.132387,0.000754,0.008436,-1.100313,1.347592,-0.095538,0,0,-0.095538
236,1.16877,-0.153281,-9.721385,0.133319,0.028199,0.007637,-1.263805,1.502549,-0.111474,0,0,-0.111474
264,0.955613,-0.196392,-9.74773,0.144777,-0.009772,0.008303,-1.430857,1.688453,-0.127999,0,0,-0.127999
291,0.991538,-0.210762,-9.848321,0.134519,-0.001778,0.010701,-1.604521,1.862338,-0.148241,0,0,-0.148241
319,1.180745,-0.114961,-9.800421,0.127724,0.001286,0.00324,-1.773471,2.033992,-0.163709,0,0,-0.163709
347,1.140029,-0.165256,-9.807606,0.143445,-0.01217,0.010301,-1.952337,2.218134,-0.183621,0,0,-0.183621
374,1.025068,-0.217947,-9.793235,0.134252,-0.001378,0.009902,-2.131603,2.391021,-0.205903,0,0,-0.205903
402,1.128054,-0.138911,-9.81958,0.130655,-0.002311,0.006837,-2.309172,2.558585,-0.229268,0,0,-0.229267
430,1.068179,-0.011975,-9.836346,0.14158,-0.006974,0.006571,-2.509587,2.73648,-0.25188,0,0,-0.25188
457,1.113684,-0.296982,-9.75731,0.13212,-0.000845,0.005905,-2.67994,2.90875,-0.27469,0,0,-0.27469
485,1.204695,-0.100591,-9.69504,0.127591,0.000221,0.009102,-2.857728,3.076763,-0.300429,0,0,-0.300429
512,1.135239,-0.114961,-9.807606,0.139048,-0.012969,0.008436,-3.053454,3.237327,-0.326991,0,0,-0.326991
540,1.144819,-0.122146,-9.778865,0.139581,-0.03775,0.009102,-3.261677,3.432227,-0.357332,0,0,-0.357332
567,0.946033,-0.146096,-9.766891,0.13212,0.00062,0.006971,-3.463895,3.596119,-0.383657,0,0,-0.383657
595,1.123264,-0.126936,-9.798025,0.135984,-0.009505,0.004972,-3.663694,3.767528,-0.408556,0,0,-0.408556
