,Gyr_x rads,gr_x (deg),0 index timestamp,gy_r offset,Gyro offset,Timestamp offset
11621,0.081771,4.685133187,0,-2.170305628,6.855438814,11621
11649,-0.173367,-9.933197407,28,-16.78863622,,
11678,-0.427972,-24.52098935,57,-31.37642816,,
11707,-0.605436,-34.68892757,86,-41.54436638,,
11721,-0.722946,-41.42175462,100,-48.27719343,,
11750,-0.832862,-47.71947752,129,-54.57491633,,
11779,-0.90454,-51.8263244,158,-58.68176321,,
11808,-0.897612,-51.42937924,187,-58.28481805,,
11837,-0.807015,-46.2385535,216,-53.09399232,,
11867,-0.673251,-38.57444085,246,-45.42987967,,
11896,-0.474337,-27.17750817,275,-34.03294698,,
11924,-0.229191,-13.131677,303,-19.98711582,,
11939,-0.108617,-6.223295683,318,-13.0787345,,
11967,0.115744,6.631642704,346,-0.22379611,,
11996,0.413117,23.66986055,375,16.81442173,,
12025,0.668121,38.2805135,404,31.42507469,,
12054,0.897012,51.39500177,433,44.53956296,,
12082,1.011325,57.94465422,461,51.0892154,,
12111,1.107518,63.45610713,490,56.60066832,,
12140,1.153216,66.07440967,519,59.21897085,,
12169,1.133232,64.92941081,548,58.07397199,,
12197,0.996403,57.08968659,576,50.23424778,,
12226,0.830397,47.57824342,605,40.72280461,,
12255,0.636279,36.45610129,634,29.60066248,,
12284,0.416048,23.83779447,663,16.98235566,,
12298,0.25204,14.44082827,677,7.585389454,,
12327,-0.010159,-0.582067824,706,-7.437506638,,
12355,-0.249709,-14.30727181,734,-21.16271062,,
12384,-0.488459,-27.98663917,763,-34.84207798,,
12413,-0.675116,-38.68129748,792,-45.5367363,,
12442,-0.802219,-45.96376295,821,-52.81920176,,
12471,-0.8699,-49.8415986,850,-56.69703741,,
12500,-0.881092,-50.48285296,879,-57.33829178,,
12529,-0.837925,-48.00956605,908,-54.86500486,,
12558,-0.67405,-38.62022018,937,-45.475659,,
12587,-0.49672,-28.4599596,966,-35.31539841,,
12616,-0.263298,-15.08586415,995,-21.94130297,,
12645,-0.013756,-0.788160743,1024,-7.643599557,,
12674,0.238051,13.63931761,1053,6.783878795,,
12703,0.455617,26.10493117,1082,19.24949236,,
12732,0.694634,39.79959651,1111,32.94415769,,
12760,0.89981,51.55531536,1139,44.69987655,,
12789,1.031709,59.11257139,1168,52.25713257,,
12818,1.113647,63.80727297,1197,56.95183415,,
12847,1.11711,64.00568825,1226,57.15024944,,
12875,1.044633,59.85306204,1254,52.99762323,,
12904,0.922193,52.8377668,1283,45.98232798,,
12933,0.756853,43.36448261,1312,36.5090438,,
12962,0.533957,30.59348254,1341,23.73804373,,
12990,0.285481,16.35685643,1369,9.501417617,,
13019,0.029011,1.662207859,1398,-5.193230955,,
13048,-0.210006,-12.03245747,1427,-18.88789629,,
13077,-0.401859,-23.02482466,1456,-29.88026347,,
13105,-0.631416,-36.17747192,1484,-43.03291073,,
13134,-0.771043,-44.17750972,1513,-51.03294854,,
13163,-0.837125,-47.96372942,1542,-54.81916824,,
13192,-0.859109,-49.22331984,1571,-56.07875866,,
13221,-0.805816,-46.16985586,1600,-53.02529468,,
13250,-0.67898,-38.90268837,1629,-45.75812719,,
13279,-0.503248,-28.83398645,1658,-35.68942526,,
13308,-0.305266,-17.49045343,1687,-24.34589224,,
13337,-0.088233,-5.055378514,1716,-11.91081733,,
13365,0.206208,11.8148481,1744,4.959409288,,
13394,0.440962,25.26526153,1773,18.40982271,,
13423,0.662659,37.96756396,1802,31.11212514,,
13452,0.860107,49.28050103,1831,42.42506222,,
13480,0.998801,57.22708187,1859,50.37164306,,
13509,1.070746,61.34922673,1888,54.49378792,,
13538,1.085268,62.18127604,1917,55.32583723,,
13567,1.051561,60.2500072,1946,53.39456839,,
13595,0.936982,53.68511408,1974,46.82967527,,
13624,0.767645,43.98281866,2003,37.12737985,,
13653,0.562336,32.21947947,2032,25.36404065,,
13682,0.331046,18.96753862,2061,12.11209981,,
13710,0.109882,6.295774844,2089,-0.55966397,,
13739,-0.173367,-9.933197407,2118,-16.78863622,,
13753,-0.285681,-16.36831559,2132,-23.2237544,,
13782,-0.481664,-27.59731434,2161,-34.45275316,,
13811,-0.663392,-38.00956176,2190,-44.86500058,,
13840,-0.780902,-44.74238881,2219,-51.59782763,,
13869,-0.824335,-47.2309164,2248,-54.08635522,,
13898,-0.82207,-47.10114146,2277,-53.95658028,,
13927,-0.754389,-43.22330581,2306,-50.07874463,,
13956,-0.61343,-35.14695003,2335,-42.00238884,,
13985,-0.423309,-24.25381913,2364,-31.10925794,,
14014,-0.208007,-11.91792321,2393,-18.77336202,,
14043,0.030477,1.746203472,2422,-5.109235342,,
14072,0.254305,14.57060321,2451,7.715164395,,
14100,0.514639,29.48664267,2479,22.63120386,,
14129,0.718749,41.18128423,2508,34.32584542,,
14158,0.866636,49.65458517,2537,42.79914636,,
14187,1.005729,57.62402703,2566,50.76858822,,
14215,1.059022,60.67749101,2594,53.8220522,,
14244,1.057956,60.61641371,2623,53.7609749,,
14273,0.968025,55.46374696,2652,48.60830815,,
14302,0.868368,49.75382146,2681,42.89838265,,
14330,0.684775,39.23471742,2709,32.3792786,,
14359,0.476934,27.32630531,2738,20.47086649,,
14388,0.245645,14.07442176,2767,7.218982944,,
14417,-0.004164,-0.238579626,2796,-7.09401844,,
14445,-0.246378,-14.11641956,2824,-20.97185838,,
14460,-0.349366,-20.01719731,2839,-26.87263612,,
14488,-0.501116,-28.71183185,2867,-35.56727066,,
14517,-0.687507,-39.39124949,2896,-46.2466883,,
14546,-0.78823,-45.16225229,2925,-52.0176911,,
14575,-0.810879,-46.4599444,2954,-53.31538321,,
14603,-0.775839,-44.45230028,2982,-51.3077391,,
14633,-0.693769,-39.75003566,3012,-46.60547447,,
14662,-0.542951,-31.10880078,3041,-37.9642396,,
14691,-0.338308,-19.38362058,3070,-26.23905939,,
14720,-0.127935,-7.330135552,3099,-14.18557437,,
14749,0.112547,6.448468097,3128,-0.406970717,,
14777,0.367152,21.03626004,3156,14.18082123,,
14806,0.578457,33.14314473,3185,26.28770592,,
14835,0.764714,43.81488473,3214,36.95944592,,
14864,0.921794,52.81490578,3243,45.95946697,,
14892,1.01772,58.31106073,3271,51.45562191,,
14921,1.042768,59.74620541,3300,52.8907666,,
14950,1.012124,57.99043354,3329,51.13499473,,
14979,0.939247,53.81488902,3358,46.95945021,,
15007,0.828532,47.47138679,3386,40.61594798,,
15036,0.602838,34.54007313,3415,27.68463432,,
15065,0.388202,22.2423362,3444,15.38689738,,
15094,0.166239,9.52479309,3473,2.669354276,,
15122,-0.08277,-4.74237167,3501,-11.59781048,,
15151,-0.30873,-17.68892601,3530,-24.54436482,,
15180,-0.497785,-28.5209796,3559,-35.37641842,,
