Timestamp,Angular position,Angular velocity
4076,13.359375,8.7890625
4086,13.359375,0
4097,13.27148438,-8.7890625
4107,13.0078125,-23.970171
4118,12.65625,-35.15625
4128,12.21679688,-39.9502831
4139,11.68945313,-52.734375
4149,11.07421875,-61.5234375
4159,10.37109375,-63.9204559
4170,9.580078125,-79.1015625
4180,8.701171875,-79.9005661
4191,7.734375,-96.6796875
4201,6.6796875,-95.8806839
4212,5.537109375,-114.2578125
4222,4.482421875,-105.46875
4232,3.33984375,-103.8707352
4243,2.109375,-123.046875
4253,0.87890625,-111.8607941
4264,-0.3515625,-123.046875
4274,-1.58203125,-111.8607941
4285,-2.8125,-123.046875
4295,-4.04296875,-123.046875
4305,-5.2734375,-111.8607941
4316,-6.416015625,-114.2578125
4326,-7.470703125,-95.8806839
4337,-8.525390625,-105.46875
4347,-9.4921875,-87.890625
4358,-10.37109375,-87.890625
4368,-11.16210938,-79.1015625
4378,-11.86523438,-63.9204559
4389,-12.48046875,-61.5234375
4399,-13.0078125,-47.9403419
4410,-13.44726563,-43.9453125
4420,-13.79882813,-31.960228
4431,-13.97460938,-17.578125
4441,-13.97460938,0
4451,-13.97460938,0
4462,-13.79882813,17.578125
4472,-13.53515625,23.970171
4483,-13.18359375,35.15625
4493,-12.65625,52.734375
4504,-12.04101563,55.930397
4514,-11.33789063,70.3125
4524,-10.546875,71.9105148
4535,-9.66796875,87.890625
4545,-8.701171875,87.890625
4556,-7.646484375,105.46875
4566,-6.591796875,105.46875
4576,-5.44921875,103.8707352
4587,-4.306640625,114.2578125
4597,-3.076171875,111.8607941
4608,-1.845703125,123.046875
4618,-0.615234375,111.8607941
4629,0.615234375,123.046875
4639,1.7578125,114.2578125
4649,2.98828125,111.8607941
4660,4.130859375,114.2578125
4670,5.2734375,103.8707352
4681,6.416015625,114.2578125
4691,7.3828125,87.890625
4702,8.349609375,96.6796875
4712,9.228515625,87.890625
4722,10.01953125,71.9105148
4733,10.81054688,79.1015625
4743,11.42578125,55.930397
4754,11.953125,52.734375
4764,12.39257813,39.9502831
