,u,dv,x,dx,theta,dtheta
193979,-0.053409,0,-0.000774,0.066495,0.002511,0
193999,-0.054303,0,-0.000774,0.066495,0.002391,0
194019,-0.055219,0,-0.000774,0.066495,0.002269,0
194039,-0.056149,0,-0.000774,0.066495,0.002145,0
194059,-0.111673,0,-0.000774,0.066495,0.002145,-0.060976
194079,-0.111657,0,-0.000774,0.066495,0.002148,-0.060976
194099,-0.11074,0,-0.000774,0.066495,0.00227,-0.060976
194119,-0.16264,0,-0.000774,0.066495,0.002755,-0.121951
194139,-0.104392,0,-0.000774,0.066495,0.003119,-0.060976
194159,-0.102565,0,-0.000774,0.066495,0.003363,-0.060976
194179,-0.099811,0,-0.000774,0.066495,0.003731,-0.060976
194199,-0.097084,0,-0.000774,0.066495,0.004096,-0.060976
194219,-0.096184,0,-0.000774,0.066495,0.004216,-0.060976
194239,-0.097114,0,-0.000774,0.066495,0.004092,-0.060976
194259,-0.09711,0,-0.000774,0.066495,0.004092,-0.060976
194279,-0.096177,0,-0.000774,0.066495,0.004217,-0.060976
194319,0.011247,0,-0.000774,0.066495,0.003731,0.060976
194339,0.005751,0,-0.000774,0.066495,0.002996,0.060976
194359,-0.051614,0,-0.000774,0.066495,0.002751,0
194379,-0.106245,0,-0.000774,0.066495,0.002871,-0.060976
194399,-0.050715,0,-0.000774,0.066495,0.002871,0
194419,-0.051627,0,-0.000774,0.066495,0.002749,0
194439,-0.053455,0,-0.000774,0.066495,0.002505,0
194459,-0.056195,0,-0.000774,0.066495,0.002138,0
194479,-0.058028,0,-0.000774,0.066495,0.001893,0
194499,-0.113567,0,-0.000774,0.066495,0.001892,-0.060976
194519,-0.11266,0,-0.000774,0.066495,0.002013,-0.060976
194539,-0.111738,0,-0.000774,0.066495,0.002137,-0.060976
194559,-0.058024,0,-0.000774,0.066495,0.001894,0
194579,-0.05985,0,-0.000774,0.066495,0.00165,0
194599,-0.062598,0,-0.000774,0.066495,0.001282,0
194619,-0.064429,0,-0.000774,0.066495,0.001038,0
194639,-0.066253,0,-0.000774,0.066495,0.000794,0
194659,-0.068073,0,-0.000774,0.066495,0.00055,0
194679,-0.068057,0,-0.000774,0.066495,0.000553,0
194699,-0.070784,0,-0.000774,0.066495,0.000188,0
194719,-0.020752,0,-0.000774,0.066495,-0.000547,0.060976
194739,-0.080875,0,-0.000774,0.066495,-0.001161,0
194759,-0.137321,0,-0.000774,0.066495,-0.001283,-0.060976
194779,-0.081756,0,-0.000774,0.066495,-0.001279,0
194799,-0.084478,0,-0.000774,0.066495,-0.001643,0
194819,-0.087236,0,-0.000774,0.066495,-0.002011,0
194839,-0.089098,0,-0.000774,0.066495,-0.00226,0
194859,-0.090019,0,-0.000774,0.066495,-0.002383,0
194879,-0.092735,0,-0.000774,0.066495,-0.002747,0
194899,-0.094536,0,-0.000774,0.066495,-0.002987,0
194919,-0.044471,0,-0.000774,0.066495,-0.003718,0.060976
194939,-0.049957,0,-0.000774,0.066495,-0.004451,0.060976
194959,-0.055426,0,-0.000774,0.066495,-0.005183,0.060976
194979,-0.0081,0,-0.000774,0.066495,-0.006279,0.121951
194999,0.034648,0,-0.000774,0.066495,-0.007988,0.182927
195019,0.020948,0,-0.000774,0.066495,-0.00982,0.182927
195039,0.061887,0,-0.000774,0.066495,-0.01177,0.243902
195059,0.159365,0,-0.000741,0.061415,-0.014327,0.365854
195079,0.139415,0,-0.000707,0.057182,-0.01761,0.365854
195099,0.170318,0,-0.000707,0.057182,-0.020903,0.426829
195119,0.141132,0,-0.000707,0.057182,-0.024804,0.426829
195139,0.114688,0,-0.000707,0.057182,-0.02834,0.426829
195159,0.088222,0,-0.000707,0.057182,-0.031878,0.426829
195179,0.059068,0,-0.000707,0.057182,-0.035775,0.426829
195199,-0.022922,0,-0.000707,0.057182,-0.039313,0.365854
195219,-0.208613,0,-0.000707,0.057182,-0.041866,0.182927
195239,-0.27507,0,-0.000707,0.057182,-0.043327,0.121951
195259,-0.27901,0,-0.000741,0.052427,-0.044555,0.121951
195279,-0.341845,0,-0.000741,0.052427,-0.045532,0.060976
195299,-0.350053,0,-0.000741,0.052427,-0.046629,0.060976
195319,-0.355524,0,-0.000741,0.052427,-0.047361,0.060976
195339,-0.36009,0,-0.000741,0.052427,-0.047971,0.060976
